Id	Name	ProductCode	Description	IsActive	Family	CreatedDate	CreatedById	LastModifiedDate	LastModifiedById	IsDeleted	CurrencyIsoCode
01t000000000000018	Product 18	SKU-00018	Sample product 18 description.	TRUE	Service	2024-01-18T10:00:00.000Z	005000000000000003	2024-01-19T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000019	Product 19	SKU-00019	Sample product 19 description.	TRUE	Subscription	2024-01-19T10:00:00.000Z	005000000000000001	2024-01-20T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000020	Product 20	SKU-00020	Sample product 20 description.	FALSE	Consumable	2024-01-20T10:00:00.000Z	005000000000000002	2024-01-21T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000021	Product 21	SKU-00021	Sample product 21 description.	TRUE	Hardware	2024-01-21T10:00:00.000Z	005000000000000003	2024-01-22T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000022	Product 22	SKU-00022	Sample product 22 description.	TRUE	Software	2024-01-22T10:00:00.000Z	005000000000000001	2024-01-23T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000023	Product 23	SKU-00023	Sample product 23 description.	TRUE	Service	2024-01-23T10:00:00.000Z	005000000000000002	2024-01-24T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000024	Product 24	SKU-00024	Sample product 24 description.	TRUE	Subscription	2024-01-24T10:00:00.000Z	005000000000000003	2024-01-25T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000025	Product 25	SKU-00025	Sample product 25 description.	TRUE	Consumable	2024-01-25T10:00:00.000Z	005000000000000001	2024-01-26T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000026	Product 26	SKU-00026	Sample product 26 description.	TRUE	Hardware	2024-01-26T10:00:00.000Z	005000000000000002	2024-01-27T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000027	Product 27	SKU-00027	Sample product 27 description.	TRUE	Software	2024-01-27T10:00:00.000Z	005000000000000003	2024-01-28T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000028	Product 28	SKU-00028	Sample product 28 description.	TRUE	Service	2024-01-28T10:00:00.000Z	005000000000000001	2024-01-29T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000029	Product 29	SKU-00029	Sample product 29 description.	TRUE	Subscription	2024-01-29T10:00:00.000Z	005000000000000002	2024-01-30T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000030	Product 30	SKU-00030	Sample product 30 description.	FALSE	Consumable	2024-01-30T10:00:00.000Z	005000000000000003	2024-01-31T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000031	Product 31	SKU-00031	Sample product 31 description.	TRUE	Hardware	2024-01-31T10:00:00.000Z	005000000000000001	2024-02-01T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000032	Product 32	SKU-00032	Sample product 32 description.	TRUE	Software	2024-02-01T10:00:00.000Z	005000000000000002	2024-02-02T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000033	Product 33	SKU-00033	Sample product 33 description.	TRUE	Service	2024-02-02T10:00:00.000Z	005000000000000003	2024-02-03T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000034	Product 34	SKU-00034	Sample product 34 description.	TRUE	Subscription	2024-02-03T10:00:00.000Z	005000000000000001	2024-02-04T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000035	Product 35	SKU-00035	Sample product 35 description.	TRUE	Consumable	2024-02-04T10:00:00.000Z	005000000000000002	2024-02-05T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000036	Product 36	SKU-00036	Sample product 36 description.	TRUE	Hardware	2024-02-05T10:00:00.000Z	005000000000000003	2024-02-06T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000037	Product 37	SKU-00037	Sample product 37 description.	TRUE	Software	2024-02-06T10:00:00.000Z	005000000000000001	2024-02-07T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000038	Product 38	SKU-00038	Sample product 38 description.	TRUE	Service	2024-02-07T10:00:00.000Z	005000000000000002	2024-02-08T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000039	Product 39	SKU-00039	Sample product 39 description.	TRUE	Subscription	2024-02-08T10:00:00.000Z	005000000000000003	2024-02-09T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000040	Product 40	SKU-00040	Sample product 40 description.	FALSE	Consumable	2024-02-09T10:00:00.000Z	005000000000000001	2024-02-10T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000041	Product 41	SKU-00041	Sample product 41 description.	TRUE	Hardware	2024-02-10T10:00:00.000Z	005000000000000002	2024-02-11T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000042	Product 42	SKU-00042	Sample product 42 description.	TRUE	Software	2024-02-11T10:00:00.000Z	005000000000000003	2024-02-12T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000043	Product 43	SKU-00043	Sample product 43 description.	TRUE	Service	2024-02-12T10:00:00.000Z	005000000000000001	2024-02-13T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000044	Product 44	SKU-00044	Sample product 44 description.	TRUE	Subscription	2024-02-13T10:00:00.000Z	005000000000000002	2024-02-14T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000045	Product 45	SKU-00045	Sample product 45 description.	TRUE	Consumable	2024-02-14T10:00:00.000Z	005000000000000003	2024-02-15T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000046	Product 46	SKU-00046	Sample product 46 description.	TRUE	Hardware	2024-02-15T10:00:00.000Z	005000000000000001	2024-02-16T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000047	Product 47	SKU-00047	Sample product 47 description.	TRUE	Software	2024-02-16T10:00:00.000Z	005000000000000002	2024-02-17T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000048	Product 48	SKU-00048	Sample product 48 description.	TRUE	Service	2024-02-17T10:00:00.000Z	005000000000000003	2024-02-18T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000049	Product 49	SKU-00049	Sample product 49 description.	TRUE	Subscription	2024-02-18T10:00:00.000Z	005000000000000001	2024-02-19T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000050	Product 50	SKU-00050	Sample product 50 description.	FALSE	Consumable	2024-02-19T10:00:00.000Z	005000000000000002	2024-02-20T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000051	Product 51	SKU-00051	Sample product 51 description.	TRUE	Hardware	2024-02-20T10:00:00.000Z	005000000000000003	2024-02-21T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000052	Product 52	SKU-00052	Sample product 52 description.	TRUE	Software	2024-02-21T10:00:00.000Z	005000000000000001	2024-02-22T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000053	Product 53	SKU-00053	Sample product 53 description.	TRUE	Service	2024-02-22T10:00:00.000Z	005000000000000002	2024-02-23T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000054	Product 54	SKU-00054	Sample product 54 description.	TRUE	Subscription	2024-02-23T10:00:00.000Z	005000000000000003	2024-02-24T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000055	Product 55	SKU-00055	Sample product 55 description.	TRUE	Consumable	2024-02-24T10:00:00.000Z	005000000000000001	2024-02-25T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000056	Product 56	SKU-00056	Sample product 56 description.	TRUE	Hardware	2024-02-25T10:00:00.000Z	005000000000000002	2024-02-26T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000057	Product 57	SKU-00057	Sample product 57 description.	TRUE	Software	2024-02-26T10:00:00.000Z	005000000000000003	2024-02-27T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000058	Product 58	SKU-00058	Sample product 58 description.	TRUE	Service	2024-02-27T10:00:00.000Z	005000000000000001	2024-02-28T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000059	Product 59	SKU-00059	Sample product 59 description.	TRUE	Subscription	2024-02-28T10:00:00.000Z	005000000000000002	2024-02-29T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000060	Product 60	SKU-00060	Sample product 60 description.	FALSE	Consumable	2024-02-29T10:00:00.000Z	005000000000000003	2024-03-01T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000061	Product 61	SKU-00061	Sample product 61 description.	TRUE	Hardware	2024-03-01T10:00:00.000Z	005000000000000001	2024-03-02T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000062	Product 62	SKU-00062	Sample product 62 description.	TRUE	Software	2024-03-02T10:00:00.000Z	005000000000000002	2024-03-03T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000063	Product 63	SKU-00063	Sample product 63 description.	TRUE	Service	2024-03-03T10:00:00.000Z	005000000000000003	2024-03-04T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000064	Product 64	SKU-00064	Sample product 64 description.	TRUE	Subscription	2024-03-04T10:00:00.000Z	005000000000000001	2024-03-05T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000065	Product 65	SKU-00065	Sample product 65 description.	TRUE	Consumable	2024-03-05T10:00:00.000Z	005000000000000002	2024-03-06T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000066	Product 66	SKU-00066	Sample product 66 description.	TRUE	Hardware	2024-03-06T10:00:00.000Z	005000000000000003	2024-03-07T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000067	Product 67	SKU-00067	Sample product 67 description.	TRUE	Software	2024-03-07T10:00:00.000Z	005000000000000001	2024-03-08T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000068	Product 68	SKU-00068	Sample product 68 description.	TRUE	Service	2024-03-08T10:00:00.000Z	005000000000000002	2024-03-09T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000069	Product 69	SKU-00069	Sample product 69 description.	TRUE	Subscription	2024-03-09T10:00:00.000Z	005000000000000003	2024-03-10T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000070	Product 70	SKU-00070	Sample product 70 description.	FALSE	Consumable	2024-03-10T10:00:00.000Z	005000000000000001	2024-03-11T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000071	Product 71	SKU-00071	Sample product 71 description.	TRUE	Hardware	2024-03-11T10:00:00.000Z	005000000000000002	2024-03-12T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000072	Product 72	SKU-00072	Sample product 72 description.	TRUE	Software	2024-03-12T10:00:00.000Z	005000000000000003	2024-03-13T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000073	Product 73	SKU-00073	Sample product 73 description.	TRUE	Service	2024-03-13T10:00:00.000Z	005000000000000001	2024-03-14T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000074	Product 74	SKU-00074	Sample product 74 description.	TRUE	Subscription	2024-03-14T10:00:00.000Z	005000000000000002	2024-03-15T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000075	Product 75	SKU-00075	Sample product 75 description.	TRUE	Consumable	2024-03-15T10:00:00.000Z	005000000000000003	2024-03-16T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000076	Product 76	SKU-00076	Sample product 76 description.	TRUE	Hardware	2024-03-16T10:00:00.000Z	005000000000000001	2024-03-17T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000077	Product 77	SKU-00077	Sample product 77 description.	TRUE	Software	2024-03-17T10:00:00.000Z	005000000000000002	2024-03-18T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000078	Product 78	SKU-00078	Sample product 78 description.	TRUE	Service	2024-03-18T10:00:00.000Z	005000000000000003	2024-03-19T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000079	Product 79	SKU-00079	Sample product 79 description.	TRUE	Subscription	2024-03-19T10:00:00.000Z	005000000000000001	2024-03-20T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000080	Product 80	SKU-00080	Sample product 80 description.	FALSE	Consumable	2024-03-20T10:00:00.000Z	005000000000000002	2024-03-21T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000081	Product 81	SKU-00081	Sample product 81 description.	TRUE	Hardware	2024-03-21T10:00:00.000Z	005000000000000003	2024-03-22T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000082	Product 82	SKU-00082	Sample product 82 description.	TRUE	Software	2024-03-22T10:00:00.000Z	005000000000000001	2024-03-23T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000083	Product 83	SKU-00083	Sample product 83 description.	TRUE	Service	2024-03-23T10:00:00.000Z	005000000000000002	2024-03-24T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000084	Product 84	SKU-00084	Sample product 84 description.	TRUE	Subscription	2024-03-24T10:00:00.000Z	005000000000000003	2024-03-25T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000085	Product 85	SKU-00085	Sample product 85 description.	TRUE	Consumable	2024-03-25T10:00:00.000Z	005000000000000001	2024-03-26T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000086	Product 86	SKU-00086	Sample product 86 description.	TRUE	Hardware	2024-03-26T10:00:00.000Z	005000000000000002	2024-03-27T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000087	Product 87	SKU-00087	Sample product 87 description.	TRUE	Software	2024-03-27T10:00:00.000Z	005000000000000003	2024-03-28T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000088	Product 88	SKU-00088	Sample product 88 description.	TRUE	Service	2024-03-28T10:00:00.000Z	005000000000000001	2024-03-29T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000089	Product 89	SKU-00089	Sample product 89 description.	TRUE	Subscription	2024-03-29T10:00:00.000Z	005000000000000002	2024-03-30T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000090	Product 90	SKU-00090	Sample product 90 description.	FALSE	Consumable	2024-03-30T10:00:00.000Z	005000000000000003	2024-03-31T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000091	Product 91	SKU-00091	Sample product 91 description.	TRUE	Hardware	2024-03-31T10:00:00.000Z	005000000000000001	2024-04-01T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000092	Product 92	SKU-00092	Sample product 92 description.	TRUE	Software	2024-04-01T10:00:00.000Z	005000000000000002	2024-04-02T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000093	Product 93	SKU-00093	Sample product 93 description.	TRUE	Service	2024-04-02T10:00:00.000Z	005000000000000003	2024-04-03T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000094	Product 94	SKU-00094	Sample product 94 description.	TRUE	Subscription	2024-04-03T10:00:00.000Z	005000000000000001	2024-04-04T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000095	Product 95	SKU-00095	Sample product 95 description.	TRUE	Consumable	2024-04-04T10:00:00.000Z	005000000000000002	2024-04-05T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000096	Product 96	SKU-00096	Sample product 96 description.	TRUE	Hardware	2024-04-05T10:00:00.000Z	005000000000000003	2024-04-06T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000097	Product 97	SKU-00097	Sample product 97 description.	TRUE	Software	2024-04-06T10:00:00.000Z	005000000000000001	2024-04-07T10:00:00.000Z	005000000000000002	FALSE	USD
01t000000000000098	Product 98	SKU-00098	Sample product 98 description.	TRUE	Service	2024-04-07T10:00:00.000Z	005000000000000002	2024-04-08T10:00:00.000Z	005000000000000003	FALSE	USD
01t000000000000099	Product 99	SKU-00099	Sample product 99 description.	TRUE	Subscription	2024-04-08T10:00:00.000Z	005000000000000003	2024-04-09T10:00:00.000Z	005000000000000001	FALSE	USD
01t000000000000100	Product 100	SKU-00100	Sample product 100 description.	FALSE	Consumable	2024-04-09T10:00:00.000Z	005000000000000001	2024-04-10T10:00:00.000Z	005000000000000002	FALSE	USD
